0.3051396837 0.4851396837 0.3051396837 0.4851396837
0.3059000787 0.4859000787 0.3059000787 0.4859000787
0.3121842198 0.4821842198 0.3121842198 0.4821842198
0.3446879492 0.4846879492 0.3446879492 0.4846879492
0.4145298218 0.4945298218 0.4145298218 0.4945298218
0.5398925927 0.5398925927 0.5398925927 0.5398925927
0.6797241585 0.6797241585 0.6797241585 0.6797241585
0.7674083919 0.7674083919 0.7674083919 0.7674083919
0.8145501641 0.8145501641 0.8145501641 0.8145501641
0.8421633351 0.8421633351 0.8421633351 0.8421633351
0.8363318777 0.8363318777 0.8363318777 0.8363318777        
0.8024532805 0.8024532805 0.8024532805 0.8024532805
0.7497428734 0.7497428734 0.7497428734 0.7497428734
0.7075103746 0.7075103746 0.7075103746 0.7075103746
0.7007567333 0.7007567333 0.7007567333 0.7007567333
0.7392275353 0.7392275353 0.7192275353 0.7192275353
0.8392275353 0.8392275353 0.7492275353 0.7492275353
0.93495701   0.93495701   0.79495701   0.79495701
0.9880200168 0.9880200168 0.8180200168 0.8180200168
1            1            0.82         0.82
0.9692237381 0.9692237381 0.7992237381 0.7992237381
0.8830893162 0.8830893162 0.7430893162 0.7430893162
0.7133662426 0.7133662426 0.6533662426 0.6533662426
0.5435243701 0.5435243701 0.5435243701 0.5390243701
0.4134739212 0.4934739212 0.4134739212 0.4934739212
0.3501396837 0.4851396837 0.3501396837 0.4851396837
0.3359000787 0.4859000787 0.3359000787 0.4859000787
0.3321842198 0.4821842198 0.3321842198 0.4821842198
